Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alabama,01,42 years,42,2020,2020,60098
,Alabama,01,42 years,42,2021,2021,60791
,Alabama,01,42 years,42,2022,2022,63349
Total,Alabama,01,42 years,42,,,184238
,Alabama,01,43 years,43,2020,2020,59950
,Alabama,01,43 years,43,2021,2021,60120
,Alabama,01,43 years,43,2022,2022,60992
Total,Alabama,01,43 years,43,,,181062
,Alabama,01,44 years,44,2020,2020,57584
,Alabama,01,44 years,44,2021,2021,59986
,Alabama,01,44 years,44,2022,2022,60360
Total,Alabama,01,44 years,44,,,177930
,Alabama,01,45 years,45,2020,2020,58915
,Alabama,01,45 years,45,2021,2021,57501
,Alabama,01,45 years,45,2022,2022,59909
Total,Alabama,01,45 years,45,,,176325
,Alabama,01,46 years,46,2020,2020,58823
,Alabama,01,46 years,46,2021,2021,58899
,Alabama,01,46 years,46,2022,2022,57685
Total,Alabama,01,46 years,46,,,175407
,Alabama,01,47 years,47,2020,2020,60731
,Alabama,01,47 years,47,2021,2021,58981
,Alabama,01,47 years,47,2022,2022,59110
Total,Alabama,01,47 years,47,,,178822
,Alabama,01,48 years,48,2020,2020,64086
,Alabama,01,48 years,48,2021,2021,60661
,Alabama,01,48 years,48,2022,2022,59039
Total,Alabama,01,48 years,48,,,183786
,Alabama,01,49 years,49,2020,2020,67890
,Alabama,01,49 years,49,2021,2021,63969
,Alabama,01,49 years,49,2022,2022,60676
Total,Alabama,01,49 years,49,,,192535
,Alabama,01,50 years,50,2020,2020,65574
,Alabama,01,50 years,50,2021,2021,67747
,Alabama,01,50 years,50,2022,2022,63872
Total,Alabama,01,50 years,50,,,197193
,Alabama,01,51 years,51,2020,2020,62566
,Alabama,01,51 years,51,2021,2021,65589
,Alabama,01,51 years,51,2022,2022,67905
Total,Alabama,01,51 years,51,,,196060
,Alabama,01,52 years,52,2020,2020,61372
,Alabama,01,52 years,52,2021,2021,62600
,Alabama,01,52 years,52,2022,2022,65761
Total,Alabama,01,52 years,52,,,189733
,Alabama,01,53 years,53,2020,2020,61829
,Alabama,01,53 years,53,2021,2021,61125
,Alabama,01,53 years,53,2022,2022,62611
Total,Alabama,01,53 years,53,,,185565
,Alabama,01,54 years,54,2020,2020,63316
,Alabama,01,54 years,54,2021,2021,61715
,Alabama,01,54 years,54,2022,2022,61229
Total,Alabama,01,54 years,54,,,186260
,Alabama,01,55 years,55,2020,2020,66557
,Alabama,01,55 years,55,2021,2021,63006
,Alabama,01,55 years,55,2022,2022,61500
Total,Alabama,01,55 years,55,,,191063
,Alabama,01,56 years,56,2020,2020,68387
,Alabama,01,56 years,56,2021,2021,66404
,Alabama,01,56 years,56,2022,2022,63018
Total,Alabama,01,56 years,56,,,197809
,Alabama,01,57 years,57,2020,2020,68410
,Alabama,01,57 years,57,2021,2021,67914
,Alabama,01,57 years,57,2022,2022,66123
Total,Alabama,01,57 years,57,,,202447
,Alabama,01,58 years,58,2020,2020,69058
,Alabama,01,58 years,58,2021,2021,67920
,Alabama,01,58 years,58,2022,2022,67628
Total,Alabama,01,58 years,58,,,204606
,Alabama,01,59 years,59,2020,2020,68977
,Alabama,01,59 years,59,2021,2021,68631
,Alabama,01,59 years,59,2022,2022,67604
Total,Alabama,01,59 years,59,,,205212
,Alabama,01,60 years,60,2020,2020,67768
,Alabama,01,60 years,60,2021,2021,68334
,Alabama,01,60 years,60,2022,2022,68144
Total,Alabama,01,60 years,60,,,204246
,Alabama,01,61 years,61,2020,2020,66651
,Alabama,01,61 years,61,2021,2021,67088
,Alabama,01,61 years,61,2022,2022,67819
Total,Alabama,01,61 years,61,,,201558
,Alabama,01,62 years,62,2020,2020,66327
,Alabama,01,62 years,62,2021,2021,65962
,Alabama,01,62 years,62,2022,2022,66539
Total,Alabama,01,62 years,62,,,198828
,Alabama,01,63 years,63,2020,2020,65918
,Alabama,01,63 years,63,2021,2021,65445
,Alabama,01,63 years,63,2022,2022,65197
Total,Alabama,01,63 years,63,,,196560
,Alabama,01,64 years,64,2020,2020,63269
,Alabama,01,64 years,64,2021,2021,65094
,Alabama,01,64 years,64,2022,2022,64858
Total,Alabama,01,64 years,64,,,193221
,Alabama,01,65 years,65,2020,2020,61552
,Alabama,01,65 years,65,2021,2021,62253
,Alabama,01,65 years,65,2022,2022,64134
Total,Alabama,01,65 years,65,,,187939
,Alabama,01,66 years,66,2020,2020,59708
,Alabama,01,66 years,66,2021,2021,60602
,Alabama,01,66 years,66,2022,2022,61555
Total,Alabama,01,66 years,66,,,181865
,Alabama,01,67 years,67,2020,2020,57203
,Alabama,01,67 years,67,2021,2021,58632
,Alabama,01,67 years,67,2022,2022,59814
Total,Alabama,01,67 years,67,,,175649
,Alabama,01,68 years,68,2020,2020,55014
,Alabama,01,68 years,68,2021,2021,55858
,Alabama,01,68 years,68,2022,2022,57434
Total,Alabama,01,68 years,68,,,168306
,Alabama,01,69 years,69,2020,2020,52529
,Alabama,01,69 years,69,2021,2021,53789
,Alabama,01,69 years,69,2022,2022,54774
Total,Alabama,01,69 years,69,,,161092
,Alabama,01,70 years,70,2020,2020,50511
,Alabama,01,70 years,70,2021,2021,51280
,Alabama,01,70 years,70,2022,2022,52633
Total,Alabama,01,70 years,70,,,154424
,Alabama,01,71 years,71,2020,2020,49693
,Alabama,01,71 years,71,2021,2021,49082
,Alabama,01,71 years,71,2022,2022,50092
Total,Alabama,01,71 years,71,,,148867
,Alabama,01,72 years,72,2020,2020,48815
,Alabama,01,72 years,72,2021,2021,48302
,Alabama,01,72 years,72,2022,2022,47843
Total,Alabama,01,72 years,72,,,144960
,Alabama,01,73 years,73,2020,2020,51336
,Alabama,01,73 years,73,2021,2021,47121
,Alabama,01,73 years,73,2022,2022,46846
Total,Alabama,01,73 years,73,,,145303
,Alabama,01,74 years,74,2020,2020,36023
,Alabama,01,74 years,74,2021,2021,49752
,Alabama,01,74 years,74,2022,2022,45757
Total,Alabama,01,74 years,74,,,131532
,Alabama,01,75 years,75,2020,2020,34732
