Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
Total,New Jersey,34,28 years,28,,,354706
,New Jersey,34,29 years,29,2020,2020,119756
,New Jersey,34,29 years,29,2021,2021,119943
,New Jersey,34,29 years,29,2022,2022,119394
Total,New Jersey,34,29 years,29,,,359093
,New Jersey,34,30 years,30,2020,2020,121272
,New Jersey,34,30 years,30,2021,2021,121176
,New Jersey,34,30 years,30,2022,2022,121042
Total,New Jersey,34,30 years,30,,,363490
,New Jersey,34,31 years,31,2020,2020,119809
,New Jersey,34,31 years,31,2021,2021,122994
,New Jersey,34,31 years,31,2022,2022,122545
Total,New Jersey,34,31 years,31,,,365348
,New Jersey,34,32 years,32,2020,2020,119347
,New Jersey,34,32 years,32,2021,2021,121020
,New Jersey,34,32 years,32,2022,2022,124070
Total,New Jersey,34,32 years,32,,,364437
,New Jersey,34,33 years,33,2020,2020,120009
,New Jersey,34,33 years,33,2021,2021,120793
,New Jersey,34,33 years,33,2022,2022,122411
Total,New Jersey,34,33 years,33,,,363213
,New Jersey,34,34 years,34,2020,2020,121765
,New Jersey,34,34 years,34,2021,2021,121126
,New Jersey,34,34 years,34,2022,2022,121541
Total,New Jersey,34,34 years,34,,,364432
,New Jersey,34,35 years,35,2020,2020,122344
,New Jersey,34,35 years,35,2021,2021,122722
,New Jersey,34,35 years,35,2022,2022,122241
Total,New Jersey,34,35 years,35,,,367307
,New Jersey,34,36 years,36,2020,2020,120470
,New Jersey,34,36 years,36,2021,2021,123108
,New Jersey,34,36 years,36,2022,2022,123264
Total,New Jersey,34,36 years,36,,,366842
,New Jersey,34,37 years,37,2020,2020,122608
,New Jersey,34,37 years,37,2021,2021,121187
,New Jersey,34,37 years,37,2022,2022,123606
Total,New Jersey,34,37 years,37,,,367401
,New Jersey,34,38 years,38,2020,2020,123408
,New Jersey,34,38 years,38,2021,2021,123222
,New Jersey,34,38 years,38,2022,2022,121627
Total,New Jersey,34,38 years,38,,,368257
,New Jersey,34,39 years,39,2020,2020,122173
,New Jersey,34,39 years,39,2021,2021,123566
,New Jersey,34,39 years,39,2022,2022,123396
Total,New Jersey,34,39 years,39,,,369135
,New Jersey,34,40 years,40,2020,2020,123039
,New Jersey,34,40 years,40,2021,2021,122332
,New Jersey,34,40 years,40,2022,2022,123473
Total,New Jersey,34,40 years,40,,,368844
,New Jersey,34,41 years,41,2020,2020,119831
,New Jersey,34,41 years,41,2021,2021,123250
,New Jersey,34,41 years,41,2022,2022,122596
Total,New Jersey,34,41 years,41,,,365677
,New Jersey,34,42 years,42,2020,2020,118272
,New Jersey,34,42 years,42,2021,2021,119802
,New Jersey,34,42 years,42,2022,2022,123162
Total,New Jersey,34,42 years,42,,,361236
,New Jersey,34,43 years,43,2020,2020,117280
,New Jersey,34,43 years,43,2021,2021,117979
,New Jersey,34,43 years,43,2022,2022,119473
Total,New Jersey,34,43 years,43,,,354732
,New Jersey,34,44 years,44,2020,2020,114456
,New Jersey,34,44 years,44,2021,2021,116828
,New Jersey,34,44 years,44,2022,2022,117449
Total,New Jersey,34,44 years,44,,,348733
,New Jersey,34,45 years,45,2020,2020,116176
,New Jersey,34,45 years,45,2021,2021,114138
,New Jersey,34,45 years,45,2022,2022,116532
Total,New Jersey,34,45 years,45,,,346846
,New Jersey,34,46 years,46,2020,2020,114231
,New Jersey,34,46 years,46,2021,2021,115810
,New Jersey,34,46 years,46,2022,2022,113730
Total,New Jersey,34,46 years,46,,,343771
,New Jersey,34,47 years,47,2020,2020,115856
,New Jersey,34,47 years,47,2021,2021,113759
,New Jersey,34,47 years,47,2022,2022,115116
Total,New Jersey,34,47 years,47,,,344731
,New Jersey,34,48 years,48,2020,2020,122187
,New Jersey,34,48 years,48,2021,2021,115557
,New Jersey,34,48 years,48,2022,2022,113338
Total,New Jersey,34,48 years,48,,,351082
,New Jersey,34,49 years,49,2020,2020,130019
,New Jersey,34,49 years,49,2021,2021,121260
,New Jersey,34,49 years,49,2022,2022,114641
Total,New Jersey,34,49 years,49,,,365920
,New Jersey,34,50 years,50,2020,2020,129674
,New Jersey,34,50 years,50,2021,2021,129083
,New Jersey,34,50 years,50,2022,2022,120141
Total,New Jersey,34,50 years,50,,,378898
,New Jersey,34,51 years,51,2020,2020,126429
,New Jersey,34,51 years,51,2021,2021,128514
,New Jersey,34,51 years,51,2022,2022,127692
Total,New Jersey,34,51 years,51,,,382635
,New Jersey,34,52 years,52,2020,2020,125504
,New Jersey,34,52 years,52,2021,2021,125212
,New Jersey,34,52 years,52,2022,2022,127185
Total,New Jersey,34,52 years,52,,,377901
,New Jersey,34,53 years,53,2020,2020,126938
,New Jersey,34,53 years,53,2021,2021,124316
,New Jersey,34,53 years,53,2022,2022,123991
Total,New Jersey,34,53 years,53,,,375245
,New Jersey,34,54 years,54,2020,2020,129236
,New Jersey,34,54 years,54,2021,2021,125453
,New Jersey,34,54 years,54,2022,2022,122769
Total,New Jersey,34,54 years,54,,,377458
,New Jersey,34,55 years,55,2020,2020,132977
,New Jersey,34,55 years,55,2021,2021,127755
,New Jersey,34,55 years,55,2022,2022,123829
Total,New Jersey,34,55 years,55,,,384561
,New Jersey,34,56 years,56,2020,2020,134782
,New Jersey,34,56 years,56,2021,2021,131037
,New Jersey,34,56 years,56,2022,2022,125887
Total,New Jersey,34,56 years,56,,,391706
,New Jersey,34,57 years,57,2020,2020,134010
,New Jersey,34,57 years,57,2021,2021,132812
,New Jersey,34,57 years,57,2022,2022,129040
Total,New Jersey,34,57 years,57,,,395862
,New Jersey,34,58 years,58,2020,2020,133087
,New Jersey,34,58 years,58,2021,2021,131910
,New Jersey,34,58 years,58,2022,2022,130321
Total,New Jersey,34,58 years,58,,,395318
,New Jersey,34,59 years,59,2020,2020,131922
,New Jersey,34,59 years,59,2021,2021,130935
,New Jersey,34,59 years,59,2022,2022,129547
Total,New Jersey,34,59 years,59,,,392404
,New Jersey,34,60 years,60,2020,2020,129163
,New Jersey,34,60 years,60,2021,2021,129806
,New Jersey,34,60 years,60,2022,2022,128668
Total,New Jersey,34,60 years,60,,,387637
,New Jersey,34,61 years,61,2020,2020,125884
,New Jersey,34,61 years,61,2021,2021,126651
,New Jersey,34,61 years,61,2022,2022,127036
Total,New Jersey,34,61 years,61,,,379571
,New Jersey,34,62 years,62,2020,2020,123587
,New Jersey,34,62 years,62,2021,2021,123449
,New Jersey,34,62 years,62,2022,2022,123921
Total,New Jersey,34,62 years,62,,,370957
,New Jersey,34,63 years,63,2020,2020,119864
,New Jersey,34,63 years,63,2021,2021,120932
,New Jersey,34,63 years,63,2022,2022,120617
Total,New Jersey,34,63 years,63,,,361413
,New Jersey,34,64 years,64,2020,2020,112930
,New Jersey,34,64 years,64,2021,2021,117175
,New Jersey,34,64 years,64,2022,2022,118115
Total,New Jersey,34,64 years,64,,,348220
,New Jersey,34,65 years,65,2020,2020,108743
,New Jersey,34,65 years,65,2021,2021,110469
,New Jersey,34,65 years,65,2022,2022,114566
Total,New Jersey,34,65 years,65,,,333778
,New Jersey,34,66 years,66,2020,2020,102872
,New Jersey,34,66 years,66,2021,2021,106142
,New Jersey,34,66 years,66,2022,2022,107459
Total,New Jersey,34,66 years,66,,,316473
,New Jersey,34,67 years,67,2020,2020,97433
,New Jersey,34,67 years,67,2021,2021,100579
,New Jersey,34,67 years,67,2022,2022,103390
Total,New Jersey,34,67 years,67,,,301402
,New Jersey,34,68 years,68,2020,2020,92819
,New Jersey,34,68 years,68,2021,2021,95117
,New Jersey,34,68 years,68,2022,2022,97934
Total,New Jersey,34,68 years,68,,,285870
,New Jersey,34,69 years,69,2020,2020,88289
,New Jersey,34,69 years,69,2021,2021,90785
,New Jersey,34,69 years,69,2022,2022,92877
Total,New Jersey,34,69 years,69,,,271951
,New Jersey,34,70 years,70,2020,2020,84056
,New Jersey,34,70 years,70,2021,2021,86203
,New Jersey,34,70 years,70,2022,2022,88617
Total,New Jersey,34,70 years,70,,,258876
,New Jersey,34,71 years,71,2020,2020,81416
,New Jersey,34,71 years,71,2021,2021,81852
,New Jersey,34,71 years,71,2022,2022,83917
Total,New Jersey,34,71 years,71,,,247185
,New Jersey,34,72 years,72,2020,2020,80707
,New Jersey,34,72 years,72,2021,2021,79433
,New Jersey,34,72 years,72,2022,2022,79925
Total,New Jersey,34,72 years,72,,,240065
,New Jersey,34,73 years,73,2020,2020,85833
,New Jersey,34,73 years,73,2021,2021,78493
,New Jersey,34,73 years,73,2022,2022,77337
Total,New Jersey,34,73 years,73,,,241663
,New Jersey,34,74 years,74,2020,2020,62226
,New Jersey,34,74 years,74,2021,2021,83468
,New Jersey,34,74 years,74,2022,2022,76356
Total,New Jersey,34,74 years,74,,,222050
,New Jersey,34,75 years,75,2020,2020,58915
,New Jersey,34,75 years,75,2021,2021,60345
,New Jersey,34,75 years,75,2022,2022,80869
Total,New Jersey,34,75 years,75,,,200129
,New Jersey,34,76 years,76,2020,2020,57135
,New Jersey,34,76 years,76,2021,2021,56981
,New Jersey,34,76 years,76,2022,2022,58511
Total,New Jersey,34,76 years,76,,,172627
,New Jersey,34,77 years,77,2020,2020,58830
,New Jersey,34,77 years,77,2021,2021,55056
,New Jersey,34,77 years,77,2022,2022,54876
Total,New Jersey,34,77 years,77,,,168762
,New Jersey,34,78 years,78,2020,2020,50571
,New Jersey,34,78 years,78,2021,2021,56572
,New Jersey,34,78 years,78,2022,2022,53016
Total,New Jersey,34,78 years,78,,,160159
,New Jersey,34,79 years,79,2020,2020,44613
,New Jersey,34,79 years,79,2021,2021,48486
,New Jersey,34,79 years,79,2022,2022,54399
Total,New Jersey,34,79 years,79,,,147498
,New Jersey,34,80 years,80,2020,2020,41057
,New Jersey,34,80 years,80,2021,2021,42563
,New Jersey,34,80 years,80,2022,2022,46346
Total,New Jersey,34,80 years,80,,,129966
,New Jersey,34,81 years,81,2020,2020,38429
,New Jersey,34,81 years,81,2021,2021,38937
,New Jersey,34,81 years,81,2022,2022,40452
Total,New Jersey,34,81 years,81,,,117818
,New Jersey,34,82 years,82,2020,2020,36465
,New Jersey,34,82 years,82,2021,2021,36323
,New Jersey,34,82 years,82,2022,2022,36901
Total,New Jersey,34,82 years,82,,,109689
,New Jersey,34,83 years,83,2020,2020,32675
,New Jersey,34,83 years,83,2021,2021,33982
,New Jersey,34,83 years,83,2022,2022,33965
Total,New Jersey,34,83 years,83,,,100622
,New Jersey,34,84 years,84,2020,2020,30205
,New Jersey,34,84 years,84,2021,2021,30403
,New Jersey,34,84 years,84,2022,2022,31637
Total,New Jersey,34,84 years,84,,,92245
,New Jersey,34,85+ years,85+,2020,2020,197420
,New Jersey,34,85+ years,85+,2021,2021,197182
,New Jersey,34,85+ years,85+,2022,2022,198417
Total,New Jersey,34,85+ years,85+,,,593019
Total,New Jersey,34,,,,,27801349
,New Mexico,35,< 1 year,0,2020,2020,22138
,New Mexico,35,< 1 year,0,2021,2021,21177
,New Mexico,35,< 1 year,0,2022,2022,20830
Total,New Mexico,35,< 1 year,0,,,64145
,New Mexico,35,1 year,1,2020,2020,22782
,New Mexico,35,1 year,1,2021,2021,21972
,New Mexico,35,1 year,1,2022,2022,21207
Total,New Mexico,35,1 year,1,,,65961
,New Mexico,35,2 years,2,2020,2020,23391
,New Mexico,35,2 years,2,2021,2021,22715
,New Mexico,35,2 years,2,2022,2022,21855
Total,New Mexico,35,2 years,2,,,67961
,New Mexico,35,3 years,3,2020,2020,24016
,New Mexico,35,3 years,3,2021,2021,23350
,New Mexico,35,3 years,3,2022,2022,22739
Total,New Mexico,35,3 years,3,,,70105
,New Mexico,35,4 years,4,2020,2020,24988
,New Mexico,35,4 years,4,2021,2021,23928
,New Mexico,35,4 years,4,2022,2022,23397
Total,New Mexico,35,4 years,4,,,72313
,New Mexico,35,5 years,5,2020,2020,25507
,New Mexico,35,5 years,5,2021,2021,24902
,New Mexico,35,5 years,5,2022,2022,23886
Total,New Mexico,35,5 years,5,,,74295
,New Mexico,35,6 years,6,2020,2020,25824
,New Mexico,35,6 years,6,2021,2021,25426
,New Mexico,35,6 years,6,2022,2022,24865
Total,New Mexico,35,6 years,6,,,76115
,New Mexico,35,7 years,7,2020,2020,25968
,New Mexico,35,7 years,7,2021,2021,25673
,New Mexico,35,7 years,7,2022,2022,25532
Total,New Mexico,35,7 years,7,,,77173
,New Mexico,35,8 years,8,2020,2020,26238
,New Mexico,35,8 years,8,2021,2021,25943
,New Mexico,35,8 years,8,2022,2022,25618
Total,New Mexico,35,8 years,8,,,77799
,New Mexico,35,9 years,9,2020,2020,26822
,New Mexico,35,9 years,9,2021,2021,26186
,New Mexico,35,9 years,9,2022,2022,25910
Total,New Mexico,35,9 years,9,,,78918
,New Mexico,35,10 years,10,2020,2020,27698
,New Mexico,35,10 years,10,2021,2021,26777
,New Mexico,35,10 years,10,2022,2022,26069
Total,New Mexico,35,10 years,10,,,80544
,New Mexico,35,11 years,11,2020,2020,28370
,New Mexico,35,11 years,11,2021,2021,27523
,New Mexico,35,11 years,11,2022,2022,26588
Total,New Mexico,35,11 years,11,,,82481
,New Mexico,35,12 years,12,2020,2020,29430
,New Mexico,35,12 years,12,2021,2021,28251
,New Mexico,35,12 years,12,2022,2022,27464
Total,New Mexico,35,12 years,12,,,85145
,New Mexico,35,13 years,13,2020,2020,29303
,New Mexico,35,13 years,13,2021,2021,29242
,New Mexico,35,13 years,13,2022,2022,28169
Total,New Mexico,35,13 years,13,,,86714
,New Mexico,35,14 years,14,2020,2020,28653
,New Mexico,35,14 years,14,2021,2021,29080
,New Mexico,35,14 years,14,2022,2022,29210
Total,New Mexico,35,14 years,14,,,86943
,New Mexico,35,15 years,15,2020,2020,28402
,New Mexico,35,15 years,15,2021,2021,28522
,New Mexico,35,15 years,15,2022,2022,29122
Total,New Mexico,35,15 years,15,,,86046
,New Mexico,35,16 years,16,2020,2020,28422
,New Mexico,35,16 years,16,2021,2021,28356
,New Mexico,35,16 years,16,2022,2022,28601
Total,New Mexico,35,16 years,16,,,85379
,New Mexico,35,17 years,17,2020,2020,28423
,New Mexico,35,17 years,17,2021,2021,28432
,New Mexico,35,17 years,17,2022,2022,28451
Total,New Mexico,35,17 years,17,,,85306
,New Mexico,35,18 years,18,2020,2020,29237
,New Mexico,35,18 years,18,2021,2021,28408
,New Mexico,35,18 years,18,2022,2022,28321
Total,New Mexico,35,18 years,18,,,85966
,New Mexico,35,19 years,19,2020,2020,31422
,New Mexico,35,19 years,19,2021,2021,29727
,New Mexico,35,19 years,19,2022,2022,28644
Total,New Mexico,35,19 years,19,,,89793
,New Mexico,35,20 years,20,2020,2020,31223
,New Mexico,35,20 years,20,2021,2021,31785
,New Mexico,35,20 years,20,2022,2022,29915
Total,New Mexico,35,20 years,20,,,92923
,New Mexico,35,21 years,21,2020,2020,30074
,New Mexico,35,21 years,21,2021,2021,31263
,New Mexico,35,21 years,21,2022,2022,31831
Total,New Mexico,35,21 years,21,,,93168
,New Mexico,35,22 years,22,2020,2020,28565
,New Mexico,35,22 years,22,2021,2021,29504
,New Mexico,35,22 years,22,2022,2022,30613
Total,New Mexico,35,22 years,22,,,88682
,New Mexico,35,23 years,23,2020,2020,27896
,New Mexico,35,23 years,23,2021,2021,28589
,New Mexico,35,23 years,23,2022,2022,29597
Total,New Mexico,35,23 years,23,,,86082
,New Mexico,35,24 years,24,2020,2020,27197
,New Mexico,35,24 years,24,2021,2021,27217
,New Mexico,35,24 years,24,2022,2022,27834
Total,New Mexico,35,24 years,24,,,82248
,New Mexico,35,25 years,25,2020,2020,27469
,New Mexico,35,25 years,25,2021,2021,27047
,New Mexico,35,25 years,25,2022,2022,26957
Total,New Mexico,35,25 years,25,,,81473
,New Mexico,35,26 years,26,2020,2020,27657
,New Mexico,35,26 years,26,2021,2021,27223
,New Mexico,35,26 years,26,2022,2022,26678
Total,New Mexico,35,26 years,26,,,81558
,New Mexico,35,27 years,27,2020,2020,28174
,New Mexico,35,27 years,27,2021,2021,27589
,New Mexico,35,27 years,27,2022,2022,27133
Total,New Mexico,35,27 years,27,,,82896
,New Mexico,35,28 years,28,2020,2020,29007
,New Mexico,35,28 years,28,2021,2021,28243
,New Mexico,35,28 years,28,2022,2022,27674
Total,New Mexico,35,28 years,28,,,84924
,New Mexico,35,29 years,29,2020,2020,28769
,New Mexico,35,29 years,29,2021,2021,29059
,New Mexico,35,29 years,29,2022,2022,28157
Total,New Mexico,35,29 years,29,,,85985
,New Mexico,35,30 years,30,2020,2020,28594
,New Mexico,35,30 years,30,2021,2021,28822
,New Mexico,35,30 years,30,2022,2022,28970
Total,New Mexico,35,30 years,30,,,86386
,New Mexico,35,31 years,31,2020,2020,27669
,New Mexico,35,31 years,31,2021,2021,28672
,New Mexico,35,31 years,31,2022,2022,28749
Total,New Mexico,35,31 years,31,,,85090
,New Mexico,35,32 years,32,2020,2020,27589
,New Mexico,35,32 years,32,2021,2021,27639
,New Mexico,35,32 years,32,2022,2022,28677
Total,New Mexico,35,32 years,32,,,83905
,New Mexico,35,33 years,33,2020,2020,27753
,New Mexico,35,33 years,33,2021,2021,27687
,New Mexico,35,33 years,33,2022,2022,27783
Total,New Mexico,35,33 years,33,,,83223
,New Mexico,35,34 years,34,2020,2020,27991
,New Mexico,35,34 years,34,2021,2021,27714
,New Mexico,35,34 years,34,2022,2022,27558
Total,New Mexico,35,34 years,34,,,83263
,New Mexico,35,35 years,35,2020,2020,28097
,New Mexico,35,35 years,35,2021,2021,28099
,New Mexico,35,35 years,35,2022,2022,27769
Total,New Mexico,35,35 years,35,,,83965
,New Mexico,35,36 years,36,2020,2020,27764
,New Mexico,35,36 years,36,2021,2021,28190
,New Mexico,35,36 years,36,2022,2022,28088
Total,New Mexico,35,36 years,36,,,84042
,New Mexico,35,37 years,37,2020,2020,27952
,New Mexico,35,37 years,37,2021,2021,27623
,New Mexico,35,37 years,37,2022,2022,28046
Total,New Mexico,35,37 years,37,,,83621
,New Mexico,35,38 years,38,2020,2020,27729
,New Mexico,35,38 years,38,2021,2021,27886
,New Mexico,35,38 years,38,2022,2022,27632
Total,New Mexico,35,38 years,38,,,83247
,New Mexico,35,39 years,39,2020,2020,26990
,New Mexico,35,39 years,39,2021,2021,27567
,New Mexico,35,39 years,39,2022,2022,27749
Total,New Mexico,35,39 years,39,,,82306
,New Mexico,35,40 years,40,2020,2020,26739
,New Mexico,35,40 years,40,2021,2021,26933
,New Mexico,35,40 years,40,2022,2022,27500
Total,New Mexico,35,40 years,40,,,81172
,New Mexico,35,41 years,41,2020,2020,25264
,New Mexico,35,41 years,41,2021,2021,26713
,New Mexico,35,41 years,41,2022,2022,26859
Total,New Mexico,35,41 years,41,,,78836
,New Mexico,35,42 years,42,2020,2020,24675
,New Mexico,35,42 years,42,2021,2021,25229
,New Mexico,35,42 years,42,2022,2022,26673
Total,New Mexico,35,42 years,42,,,76577
,New Mexico,35,43 years,43,2020,2020,24172
,New Mexico,35,43 years,43,2021,2021,24576
,New Mexico,35,43 years,43,2022,2022,25124
Total,New Mexico,35,43 years,43,,,73872
,New Mexico,35,44 years,44,2020,2020,23429
,New Mexico,35,44 years,44,2021,2021,24136
,New Mexico,35,44 years,44,2022,2022,24469
Total,New Mexico,35,44 years,44,,,72034
,New Mexico,35,45 years,45,2020,2020,23338
,New Mexico,35,45 years,45,2021,2021,23365
,New Mexico,35,45 years,45,2022,2022,24147
Total,New Mexico,35,45 years,45,,,70850
,New Mexico,35,46 years,46,2020,2020,22656
,New Mexico,35,46 years,46,2021,2021,23210
,New Mexico,35,46 years,46,2022,2022,23290
Total,New Mexico,35,46 years,46,,,69156
,New Mexico,35,47 years,47,2020,2020,22957
,New Mexico,35,47 years,47,2021,2021,22641
,New Mexico,35,47 years,47,2022,2022,23196
Total,New Mexico,35,47 years,47,,,68794
,New Mexico,35,48 years,48,2020,2020,23796
,New Mexico,35,48 years,48,2021,2021,22864
,New Mexico,35,48 years,48,2022,2022,22583
Total,New Mexico,35,48 years,48,,,69243
,New Mexico,35,49 years,49,2020,2020,24771
,New Mexico,35,49 years,49,2021,2021,23635
,New Mexico,35,49 years,49,2022,2022,22697
Total,New Mexico,35,49 years,49,,,71103
,New Mexico,35,50 years,50,2020,2020,24365
,New Mexico,35,50 years,50,2021,2021,24638
,New Mexico,35,50 years,50,2022,2022,23518
Total,New Mexico,35,50 years,50,,,72521
,New Mexico,35,51 years,51,2020,2020,23732
,New Mexico,35,51 years,51,2021,2021,24367
,New Mexico,35,51 years,51,2022,2022,24568
Total,New Mexico,35,51 years,51,,,72667
,New Mexico,35,52 years,52,2020,2020,23247
,New Mexico,35,52 years,52,2021,2021,23502
,New Mexico,35,52 years,52,2022,2022,24139
Total,New Mexico,35,52 years,52,,,70888
,New Mexico,35,53 years,53,2020,2020,23529
,New Mexico,35,53 years,53,2021,2021,23205
,New Mexico,35,53 years,53,2022,2022,23422
Total,New Mexico,35,53 years,53,,,70156
,New Mexico,35,54 years,54,2020,2020,23938
,New Mexico,35,54 years,54,2021,2021,23353
,New Mexico,35,54 years,54,2022,2022,23021
Total,New Mexico,35,54 years,54,,,70312
,New Mexico,35,55 years,55,2020,2020,25288
,New Mexico,35,55 years,55,2021,2021,23787
,New Mexico,35,55 years,55,2022,2022,23091
Total,New Mexico,35,55 years,55,,,72166
,New Mexico,35,56 years,56,2020,2020,26418
,New Mexico,35,56 years,56,2021,2021,25141
,New Mexico,35,56 years,56,2022,2022,23550
Total,New Mexico,35,56 years,56,,,75109
,New Mexico,35,57 years,57,2020,2020,27147
,New Mexico,35,57 years,57,2021,2021,26289
,New Mexico,35,57 years,57,2022,2022,25088
Total,New Mexico,35,57 years,57,,,78524
,New Mexico,35,58 years,58,2020,2020,28203
,New Mexico,35,58 years,58,2021,2021,26894
,New Mexico,35,58 years,58,2022,2022,26024
Total,New Mexico,35,58 years,58,,,81121
,New Mexico,35,59 years,59,2020,2020,28279
,New Mexico,35,59 years,59,2021,2021,27989
,New Mexico,35,59 years,59,2022,2022,26630
Total,New Mexico,35,59 years,59,,,82898
,New Mexico,35,60 years,60,2020,2020,28088
,New Mexico,35,60 years,60,2021,2021,28135
,New Mexico,35,60 years,60,2022,2022,27797
Total,New Mexico,35,60 years,60,,,84020
,New Mexico,35,61 years,61,2020,2020,27397
,New Mexico,35,61 years,61,2021,2021,27930
,New Mexico,35,61 years,61,2022,2022,27809
Total,New Mexico,35,61 years,61,,,83136
,New Mexico,35,62 years,62,2020,2020,27324
,New Mexico,35,62 years,62,2021,2021,26988
,New Mexico,35,62 years,62,2022,2022,27446
Total,New Mexico,35,62 years,62,,,81758
,New Mexico,35,63 years,63,2020,2020,27468
,New Mexico,35,63 years,63,2021,2021,27125
,New Mexico,35,63 years,63,2022,2022,26734
Total,New Mexico,35,63 years,63,,,81327
,New Mexico,35,64 years,64,2020,2020,26545
,New Mexico,35,64 years,64,2021,2021,27111
,New Mexico,35,64 years,64,2022,2022,26678
Total,New Mexico,35,64 years,64,,,80334
,New Mexico,35,65 years,65,2020,2020,26224
,New Mexico,35,65 years,65,2021,2021,26272
,New Mexico,35,65 years,65,2022,2022,26766
Total,New Mexico,35,65 years,65,,,79262
,New Mexico,35,66 years,66,2020,2020,25699
,New Mexico,35,66 years,66,2021,2021,25905
,New Mexico,35,66 years,66,2022,2022,25948
Total,New Mexico,35,66 years,66,,,77552
,New Mexico,35,67 years,67,2020,2020,25196
,New Mexico,35,67 years,67,2021,2021,25429
,New Mexico,35,67 years,67,2022,2022,25659
Total,New Mexico,35,67 years,67,,,76284
,New Mexico,35,68 years,68,2020,2020,24568
,New Mexico,35,68 years,68,2021,2021,24852
,New Mexico,35,68 years,68,2022,2022,25090
Total,New Mexico,35,68 years,68,,,74510
,New Mexico,35,69 years,69,2020,2020,23556
,New Mexico,35,69 years,69,2021,2021,24150
,New Mexico,35,69 years,69,2022,2022,24432
Total,New Mexico,35,69 years,69,,,72138
,New Mexico,35,70 years,70,2020,2020,22887
,New Mexico,35,70 years,70,2021,2021,23153
,New Mexico,35,70 years,70,2022,2022,23763
Total,New Mexico,35,70 years,70,,,69803
,New Mexico,35,71 years,71,2020,2020,22361
,New Mexico,35,71 years,71,2021,2021,22506
,New Mexico,35,71 years,71,2022,2022,22777
Total,New Mexico,35,71 years,71,,,67644
,New Mexico,35,72 years,72,2020,2020,21758
,New Mexico,35,72 years,72,2021,2021,21838
,New Mexico,35,72 years,72,2022,2022,21973
Total,New Mexico,35,72 years,72,,,65569
,New Mexico,35,73 years,73,2020,2020,22362
,New Mexico,35,73 years,73,2021,2021,21240
,New Mexico,35,73 years,73,2022,2022,21330
Total,New Mexico,35,73 years,73,,,64932
,New Mexico,35,74 years,74,2020,2020,16228
,New Mexico,35,74 years,74,2021,2021,21859
,New Mexico,35,74 years,74,2022,2022,20699
Total,New Mexico,35,74 years,74,,,58786
,New Mexico,35,75 years,75,2020,2020,15538
,New Mexico,35,75 years,75,2021,2021,15799
,New Mexico,35,75 years,75,2022,2022,21244
Total,New Mexico,35,75 years,75,,,52581
,New Mexico,35,76 years,76,2020,2020,14808
,New Mexico,35,76 years,76,2021,2021,14987
,New Mexico,35,76 years,76,2022,2022,15175
Total,New Mexico,35,76 years,76,,,44970
,New Mexico,35,77 years,77,2020,2020,14601
,New Mexico,35,77 years,77,2021,2021,14262
,New Mexico,35,77 years,77,2022,2022,14448
Total,New Mexico,35,77 years,77,,,43311
,New Mexico,35,78 years,78,2020,2020,12552
,New Mexico,35,78 years,78,2021,2021,14002
,New Mexico,35,78 years,78,2022,2022,13751
Total,New Mexico,35,78 years,78,,,40305
,New Mexico,35,79 years,79,2020,2020,11267
,New Mexico,35,79 years,79,2021,2021,11905
,New Mexico,35,79 years,79,2022,2022,13272
Total,New Mexico,35,79 years,79,,,36444
,New Mexico,35,80 years,80,2020,2020,10270
,New Mexico,35,80 years,80,2021,2021,10655
,New Mexico,35,80 years,80,2022,2022,11226
Total,New Mexico,35,80 years,80,,,32151
,New Mexico,35,81 years,81,2020,2020,9582
,New Mexico,35,81 years,81,2021,2021,9669
,New Mexico,35,81 years,81,2022,2022,10045
Total,New Mexico,35,81 years,81,,,29296
,New Mexico,35,82 years,82,2020,2020,8949
,New Mexico,35,82 years,82,2021,2021,9020
,New Mexico,35,82 years,82,2022,2022,9062
Total,New Mexico,35,82 years,82,,,27031
,New Mexico,35,83 years,83,2020,2020,7932
,New Mexico,35,83 years,83,2021,2021,8269
,New Mexico,35,83 years,83,2022,2022,8353
Total,New Mexico,35,83 years,83,,,24554
,New Mexico,35,84 years,84,2020,2020,7231
,New Mexico,35,84 years,84,2021,2021,7225
,New Mexico,35,84 years,84,2022,2022,7509
Total,New Mexico,35,84 years,84,,,21965
,New Mexico,35,85+ years,85+,2020,2020,40863
,New Mexico,35,85+ years,85+,2021,2021,40916
,New Mexico,35,85+ years,85+,2022,2022,40881
Total,New Mexico,35,85+ years,85+,,,122660
Total,New Mexico,35,,,,,6348411
,New York,36,< 1 year,0,2020,2020,224111
,New York,36,< 1 year,0,2021,2021,207628
,New York,36,< 1 year,0,2022,2022,214746
Total,New York,36,< 1 year,0,,,646485
,New York,36,1 year,1,2020,2020,225825
,New York,36,1 year,1,2021,2021,216306
,New York,36,1 year,1,2022,2022,201750
Total,New York,36,1 year,1,,,643881
,New York,36,2 years,2,2020,2020,228132
,New York,36,2 years,2,2021,2021,219136
,New York,36,2 years,2,2022,2022,211104
Total,New York,36,2 years,2,,,658372
,New York,36,3 years,3,2020,2020,228627
,New York,36,3 years,3,2021,2021,222115
,New York,36,3 years,3,2022,2022,214218
Total,New York,36,3 years,3,,,664960
,New York,36,4 years,4,2020,2020,230782
,New York,36,4 years,4,2021,2021,223417
,New York,36,4 years,4,2022,2022,217399
